HomeParkZipCode,HomeParkInseeCode,nom_commune_postal,latitude,longitude,code_departement,nom_departement,code_region,JobParkZipCode,JobParkInseeCode
01150,01202,LAGNIEU,45.8917015798,5.32917518895,01,Ain,84,11140,11177
01290,01203,LAIZ,46.2469919709,4.89933490972,01,Ain,84,06600,06004
01130,01204,LE POIZAT LALLEYRIAT,46.1479592076,5.71829194244,01,Ain,84,21250,21035
01130,01204,LE POIZAT LALLEYRIAT,46.1479592076,5.71829194244,01,Ain,84,01250,01369
01200,01205,LANCRANS,46.1323202721,5.84050985141,01,Ain,84,24390,24555
01430,01206,LANTENAY,46.0544405897,5.54127421165,01,Ain,84,06540,06023
01330,01207,LAPEYROUSE,45.9859131165,4.98196682865,01,Ain,84,14220,14689
01350,01208,LAVOURS,45.8108837933,5.77267317838,01,Ain,84,21510,21052
01200,01209,LEAZ,46.1086518044,5.87649017888,01,Ain,84,14480,14200
01410,01210,LELEX,46.2855010936,5.92927713771,01,Ain,84,08240,08176
01240,01211,LENT,46.1160216305,5.20200684747,01,Ain,84,09110,09218
01560,01212,LESCHEROUX,46.4114892731,5.15107164478,01,Ain,84,21540,21121
01150,01213,LEYMENT,45.9269989549,5.2947657235,01,Ain,84,09320,09301
01450,01214,LEYSSARD,46.1624187428,5.47633297491,01,Ain,84,14190,14546
01420,01215,LHOPITAL,46.0238143134,5.76236736492,01,Ain,84,02610,02532
01680,01216,LHUIS,45.7444141403,5.53602066955,01,Ain,84,14220,14013
01260,01218,LOCHIEU,45.9302479879,5.7413126836,01,Ain,84,17500,17082
01680,01219,LOMPNAS,45.8105943351,5.52320457866,01,Ain,84,15220,15163
01260,01221,LOMPNIEU,45.9690865613,5.65968816497,01,Ain,84,14700,14087
01360,01224,LOYETTES,45.7921564114,5.21770971647,01,Ain,84,01470,01037
01090,01225,LURCY,46.061730034,4.78075207026,01,Ain,84,09290,09181
01300,01227,MAGNIEU,45.7754050255,5.71540945601,01,Ain,84,15140,15070
01430,01228,MAILLAT,46.1201642836,5.52854394238,01,Ain,84,06250,06085
01340,01229,MALAFRETAZ,46.3295545661,5.14386299599,01,Ain,84,02460,02718
01560,01230,MANTENAY MONTLIN,46.4302754511,5.10675899732,01,Ain,84,22600,22075
01570,01231,MANZIAT,46.3643830585,4.90242777155,01,Ain,84,02330,02515
01851,01232,MARBOZ,46.3434312497,5.24374534963,01,Ain,84,07510,07075
01680,01233,MARCHAMP,45.7738495266,5.54985181107,01,Ain,84,01260,01187
01300,01234,MARIGNIEU,45.8010384947,5.71570352924,01,Ain,84,11300,11158
